Date,Open ,High,Low ,Close_Price,Active_Adresses,Age_Destroyed,Network_Profit_Loss,NVT_Ratio,Realized_Value,Token_Age_Consumed,Token_Circulation,Velocity,Whale_Transaction_Count_100K,Exchange_Balance,Dev_Activity,Mean_Age,Mean_Dollar_Invested,Exchange_Percentage_Of_Supply,Exchange_In_Out_Flow,Exchange_Inflow,Exchange_Outflow,Transaction_Volume,Transaction_Volume_Loss,Transaction_Volume_Profit,Transaction_Volume_Profit_Loss,MVRV_Ratio,HoldersDistr_0.001_0.01,HoldersDistr_0.01_0.1,HoldersDistr_0.1_1,HoldersDistr_1_10,HoldersDistr_10_100,HoldersDistr_100_1K,HoldersDistr_1K_10K,HoldersDistr_10K_100K,HoldersDistr_100K_1M,HoldersDistr_Total
2017-05-06,1556.81,1578.8,1542.5,1578.8,872107,7399269.343,37633229.04,63.14665979,9205374347,7399269.343,16314828.23,5.686907427,4479,2436.997376,25,919.1445493,338.4245755,3.502630139,2436.997376,176581.1466,174144.1492,1469292.567,468228.4633,597461.2364,1.276003667,2.798131813,2907502,2646264,1143517,435174,130819,16448,1660,111,2,16670239
2017-05-07,1579.47,1596.72,1559.76,1596.71,787619,8172995.236,29955194.55,70.16947855,9238617744,8172995.236,16316915.73,6.239401748,4258,2153.746005,19,919.5260063,337.7297917,3.515381498,2153.746005,165243.2804,163089.5344,1450884.268,419835.473,610101.3886,1.453191614,2.820052008,2917823,2618773,1135351,433832,130669,16435,1662,110,2,16673208
2017-05-08,1596.92,1723.35,1596.92,1723.35,889535,16581230.07,93593637.3,47.86763646,9336036363,16581230.07,16319165.73,5.795914979,6066,17675.16465,39,919.3830985,334.2171175,3.623206058,17675.16465,317925.9509,300250.7863,1975959.21,410892.9487,1032305.942,2.512347668,3.012374114,2925393,2624647,1135626,436843,130563,16432,1667,110,2,16723499
2017-05-09,1723.89,1833.49,1716.3,1755.36,794535,23057105.76,104873854.4,49.61912699,9448093119,23057105.76,16321103.23,6.013982065,6235,-7384.353547,87,918.8611799,330.1370419,3.577531736,-7384.353547,253828.1917,261212.5453,1978165.036,413563.706,941628.7678,2.276865097,3.032295661,2938362,2629749,1141530,439006,130591,16397,1670,110,2,16779179
2017-05-10,1756.52,1788.44,1719.1,1787.13,735162,10805787.47,59596228.22,53.10778537,9510958437,10805787.47,16322953.23,6.596713982,6121,-6700.836343,22,919.0949792,328.2815609,3.536074651,-6700.836343,234603.8378,241304.6742,2027534.251,578324.6853,784019.4025,1.355673417,3.067118798,2954796,2639847,1147670,439250,130600,16459,1660,109,2,16835643
2017-05-11,1780.37,1873.93,1755.35,1848.57,703580,37271917.58,114858285.5,49.8027074,9629088941,37271917.58,16324640.73,5.381858048,5646,2518.977103,20,917.7167543,324.3862957,3.551139643,2518.977103,205451.5329,202932.5558,1764098.855,398034.8577,840030.844,2.110445424,3.133966391,2970980,2658362,1156630,441906,130652,16357,1665,109,2,16908561
2017-05-12,1845.76,1856.15,1694.01,1724.24,745657,11607349.89,57931910.95,55.5098366,9690483860,11607349.89,16326565.73,5.725024723,4902,-5470.777239,34,917.8975435,322.5658825,3.517212504,-5470.777239,217068.4573,222539.2346,1683845.57,693604.8082,559908.3793,0.807244086,2.905006407,2985104,2681110,1162119,442537,130715,16337,1664,110,2,16977749
2017-05-13,1723.12,1812.99,1651.08,1804.91,793170,15152466.01,32569870.76,69.20978132,9726477163,15152466.01,16328540.73,5.603538352,4436,5062.346979,17,917.8584851,321.6206379,3.547790142,5062.346979,130763.8755,125701.5285,1322032.847,423550.1911,554276.2585,1.308643628,3.030032966,3003629,2684985,1163051,442269,130656,16348,1669,109,2,17030306
2017-05-14,1800.86,1831.42,1776.62,1808.91,893653,4647700.425,31156263.6,73.28279907,9761335336,4647700.425,16330590.73,5.151900377,3865,471.4684959,8,918.4586015,321.1413344,3.550231809,471.4684959,136626.9432,136155.4747,1148067.181,357150.5638,477584.7885,1.337208553,3.026283583,3018875,2687505,1167381,442748,130702,16332,1662,110,2,17095230
2017-05-15,1808.44,1812.8,1708.54,1738.43,825612,12815266.82,39073331.57,54.01015202,9804146541,12815266.82,16332715.73,6.231531337,5980,-6103.959961,23,918.5544045,319.9938123,3.512397303,-6103.959961,235091.7543,241195.7143,1884420.356,838357.013,591239.0925,0.705235459,2.896048411,3026398,2687281,1169328,444555,130747,16450,1640,110,2,17133743
